Genus	Number of different taxonomies	Different taxonomies
g__Candidatus_Nanopelagicus	1	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Candidatus_Nanopelagicales|f__Candidatus_Nanopelagicaceae:2
g__Actinobacteria_unclassified	1	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinobacteria_unclassified|f__Actinobacteria_unclassified:3
g__Acidaminococcus	1	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae:2
g__Dialister	1	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae:2
g__Megasphaera	1	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae:10
g__Selenomonas	1	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae:9
g__Mitsuokella	1	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae:2
g__Brachyspira	1	k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales|f__Brachyspiraceae:2
g__Fusobacterium	1	k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae:5
g__Cetobacterium	1	k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae:2
g__Leptotrichia	1	k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae:3
g__Epulopiscium	1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae:3
g__Natronincola	1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae:2
g__Alkaliphilus	1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae:2
g__Geosporobacter	1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae:2
g__Peptostreptococcaceae_unclassified	1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae:4
g__Romboutsia	1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae:2
g__Peptoanaerobacter	1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae:2
g__Peptoniphilus	1	k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae:10
g__Parvimonas	1	k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae:2
g__Anaerococcus	1	k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae:6
g__Coprobacillus	1	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae:2
g__Firmicutes_unclassified	1	k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified:2
g__Turicibacter	1	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae:2
g__Candidatus_Izimaplasma	1	k__Bacteria|p__Tenericutes|c__Tenericutes_unclassified|o__Tenericutes_unclassified|f__Tenericutes_unclassified:2
g__Candidatus_Phytoplasma	1	k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae:8
g__Acholeplasma	1	k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae:4
g__Sporomusa	1	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Sporomusaceae:4
g__Pelosinus	1	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Sporomusaceae:2
g__Veillonella	1	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae:5
g__Megamonas	1	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae:2
g__Desulfurobacterium	1	k__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae:3
g__Moorella	1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae:2
g__Desulfotomaculum	1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae:8
g__Lactobacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae:141
g__Weissella	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae:11
g__Leuconostoc	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae:7
g__Fructobacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae:4
g__Pediococcus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae:8
g__Oscillibacter	1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae:3
g__Anaerotruncus	1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae:2
g__Gemella	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified:5
g__Tepidanaerobacter	1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae:2
g__Aneurinibacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae:3
g__Brevibacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae:9
g__Paenibacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae:68
g__Bacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae:113
g__Cohnella	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae:3
g__Saccharibacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae:2
g__Lysinibacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae:13
g__Caryophanon	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae:2
g__Solibacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae:2
g__Psychrobacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae:2
g__Brochothrix	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae:2
g__Listeria	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae:7
g__Planococcus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae:6
g__Sporosarcina	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae:6
g__Lentibacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae:3
g__Pontibacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae:5
g__Salimicrobium	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae:3
g__Halobacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae:7
g__Amphibacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae:2
g__Gracilibacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae:5
g__Sediminibacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae:2
g__Oceanobacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae:5
g__Virgibacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae:9
g__Jeotgalibacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae:4
g__Domibacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae:5
g__Terribacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae:2
g__Salinicoccus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae:4
g__Facklamia	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae:3
g__Staphylococcus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae:29
g__Macrococcus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae:2
g__Alkalibacterium	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae:5
g__Aerococcus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae:6
g__Jeotgalibaca	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae:2
g__Carnobacterium	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae:6
g__Granulicatella	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae:3
g__Vagococcus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae:4
g__Enterococcus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae:38
g__Lactococcus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae:6
g__Streptococcus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae:37
g__Thermoactinomyces	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae:2
g__Marininema	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae:2
g__Sporolactobacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Sporolactobacillaceae:3
g__Fictibacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae:5
g__Anaerobacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae:4
g__Geomicrobium	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified:2
g__Exiguobacterium	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified:4
g__Anoxybacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae:3
g__Alteribacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae:3
g__Desulfosporosinus	1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae:8
g__Desulfitobacterium	1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae:2
g__Alicyclobacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Alicyclobacillaceae:4
g__Desulfallas	1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae:3
g__Aliifodinibius	1	k__Bacteria|p__Balneolaeota|c__Balneolia|o__Balneolales|f__Balneolaceae:2
g__Prosthecochloris	1	k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae:4
g__Chlorobium	1	k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae:5
g__Pelodictyon	1	k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae:2
g__Chlorobaculum	1	k__Bacteria|p__Chlorobi|c__Chlorobia|o__Chlorobiales|f__Chlorobiaceae:2
g__Hungateiclostridium	1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Hungateiclostridiaceae:3
g__Herbinix	1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae:2
g__Peptoclostridium	1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae:2
g__Dethiosulfovibrio	1	k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae:2
g__Tumebacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Alicyclobacillaceae:3
g__Sulfobacillus	1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XVII_Incertae_Sedis:2
g__Natranaerobius	1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Natranaerobiales|f__Natranaerobiaceae:2
g__Desulfuribacillus	1	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified:2
g__Candidatus_Arthromitus	1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae:2
g__Caloramator	1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae:4
g__Dictyoglomus	1	k__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae:2
g__Thermoanaerobacterium	1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales_Family_III_Incertae_Sedis:2
g__Halanaerobium	1	k__Bacteria|p__Firmicutes|c__Clostridia|o__Halanaerobiales|f__Halanaerobiaceae:6
g__Cephaloticoccus	1	k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales|f__Opitutaceae:2
g__Opitutus	1	k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales|f__Opitutaceae:2
g__Opitutaceae_unclassified	1	k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales|f__Opitutaceae:3
g__Verrucomicrobia_unclassified	1	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobia_unclassified|o__Verrucomicrobia_unclassified|f__Verrucomicrobia_unclassified:2
g__Methylacidiphilum	1	k__Bacteria|p__Verrucomicrobia|c__Methylacidiphilae|o__Methylacidiphilales|f__Methylacidiphilaceae:2
g__Desulfovibrio	1	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae:21
g__Pseudodesulfovibrio	1	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae:3
g__Pelobacter	1	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Desulfuromonadaceae:4
g__Geoalkalibacter	1	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Geobacteraceae:2
g__Desulfuromonas	1	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Desulfuromonadaceae:2
g__Geobacter	1	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Geobacteraceae:8
g__Dehalogenimonas	1	k__Bacteria|p__Chloroflexi|c__Dehalococcoidia|o__Dehalococcoidia_unclassified|f__Dehalococcoidia_unclassified:2
g__Desulfacinum	1	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales|f__Syntrophobacteraceae:2
g__Desulfobacterium	1	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobacteraceae:2
g__Syntrophus	1	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales|f__Syntrophaceae:2
g__Smithella	1	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales|f__Syntrophaceae:3
g__Leptospirillum	1	k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae:2
g__Terriglobus	1	k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae:4
g__Granulicella	1	k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae:4
g__Nitrospira	1	k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae:7
g__Pseudohongiella	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria_unclassified|f__Gammaproteobacteria_unclassified:2
g__Kangiella	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Kangiellaceae:4
g__Thiomicrospira	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales|f__Piscirickettsiaceae:4
g__Hydrogenovibrio	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales|f__Piscirickettsiaceae:3
g__Lewinella	1	k__Bacteria|p__Bacteroidetes|c__Saprospiria|o__Saprospirales|f__Lewinellaceae:2
g__Akkermansia	1	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae:3
g__Burkholderiales_unclassified	1	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified:5
g__Sutterella	1	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae:3
g__Xylella	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae:2
g__Rickettsiella	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Coxiellaceae:2
g__Halothiobacillus	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Halothiobacillaceae:2
g__Oxalobacter	1	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae:2
g__Janthinobacterium	1	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae:5
g__Noviherbaspirillum	1	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae:4
g__Cardiobacterium	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae:2
g__Kingella	1	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae:3
g__Neisseria	1	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae:9
g__Methylophilus	1	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae:3
g__Methylovorus	1	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae:2
g__Methylobacillus	1	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae:3
g__Snodgrassella	1	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae:4
g__Chitinimonas	1	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae:2
g__Ferrovum	1	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Ferrovales|f__Ferrovaceae:3
g__Candidatus_Kinetoplastibacterium	1	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Betaproteobacteria_unclassified|f__Betaproteobacteria_unclassified:3
g__Taylorella	1	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae:2
g__Idiomarina	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Idiomarinaceae:10
g__Alteromonas	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae:6
g__Glaciecola	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae:3
g__Paraglaciecola	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae:5
g__Pusillimonas	1	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae:3
g__Leptothrix	1	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_unclassified:2
g__Psychromonas	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Psychromonadaceae:5
g__Gilliamella	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales|f__Orbaceae:7
g__Pasteurella	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae:5
g__Haemophilus	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae:8
g__Rodentibacter	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae:3
g__Aggregatibacter	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae:2
g__Actinobacillus	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae:4
g__Pasteurellaceae_unclassified	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae:2
g__Mannheimia	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae:2
g__Gallibacterium	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae:2
g__Rheinheimera	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae:5
g__Arsukibacterium	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae:2
g__Photobacterium	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae:14
g__Enterovibrio	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae:5
g__Grimontia	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae:2
g__Vibrio	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae:54
g__Aliivibrio	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae:2
g__Ferrimonas	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Ferrimonadaceae:3
g__Aeromonas	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae:4
g__Xenorhabdus	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae:7
g__Providencia	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae:7
g__Sodalis	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae:3
g__Klebsiella	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae:2
g__Kosakonia	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae:2
g__Enterobacter	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae:3
g__Pluralibacter	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae:2
g__Erwinia	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae:9
g__Yersinia	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae:3
g__Brenneria	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae:2
g__Dickeya	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae:2
g__Tatumella	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae:3
g__Shewanella	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Shewanellaceae:18
g__Acinetobacter	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae:34
g__Moraxella	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae:11
g__Psychrobacter	1	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae:12
g__Thalassospira	1	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae:4
g__Hyphomonas	1	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Hyphomonadaceae:6
g__Roseovarius	1	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae:12
g__Epibacterium	1	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae:3
g__Roseobacter	1	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae:5
g__Loktanella	1	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae:6
g__Yoonia	1	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae:4
g__Cognatiyoonia	1	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae:2
g__Marivita	1	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae:3
g__Thalassobius	1	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae:4
g__Ruegeria	1	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae:10
g__Rhodobacteraceae_unclassified	1	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae:5
g__Phaeobacter	1	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae:7
g__Puniceibacterium	1	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae:3
g__Sulfitobacter	1	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae:10
g__Pseudooceanicola	1	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae:6
g__Shimia	1	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae:4
